# Hour	Dry Bulb Temperature {C}	Direct Normal Radiation {Wh/m2}	Diffuse Horizontal Radiation {Wh/m2}
19	24.2	0	0
20	23.9	0	0
21	23.4	0	0
22	23.8	0	0
23	23.6	0	0
24	23	0	0
1	23	0	0
2	22.6	0	0
3	22.5	0	0
4	21.7	0	0
5	21.7	0	0
6	21.5	42	44
7	22.6	458	115
8	23.5	675	135
9	25.4	710	175
10	25.8	643	249
11	26.7	565	322
12	26.4	557	334
13	27.4	640	265
14	27.1	747	176
15	27	790	118
16	25.6	690	98
17	24.7	285	79
18	23.8	4	9
19	23.4	0	0
20	23	0	0
21	23.2	0	0
22	22.8	0	0
23	22.7	0	0
24	21.4	0	0
1	22.3	0	0
2	22.1	0	0
3	23.1	0	0
4	21.7	0	0
5	21.8	0	0
6	21.4	44	47
7	23.2	372	132
8	24.4	573	167
9	26.2	607	218
10	27.2	544	299
11	28.3	472	374
12	28.8	465	385
13	29.4	546	315
14	29.1	652	219
15	28.7	695	151
16	27.3	595	122
17	26.2	243	88
18	24.9	4	10
19	24.1	0	0
20	23.4	0	0
21	22.8	0	0
22	22.6	0	0
23	22.4	0	0
24	22.2	0	0
1	22	0	0
2	21.7	0	0
3	22	0	0
4	21.4	0	0
5	21.6	0	0
6	21.1	45	47
7	23	409	127
8	24.3	615	155
9	26.7	648	202
10	27.1	582	281
11	28.2	508	356
12	28.4	501	367
13	29.1	584	296
14	28.8	691	202
15	28.2	735	138
16	27.1	634	112
17	26.1	261	85
18	25	5	11
19	24.5	0	0
20	24.2	0	0
21	24.7	0	0
22	24.4	0	0
23	24.5	0	0
24	24.1	0	0
1	24.4	0	0
2	24.1	0	0
3	24.1	0	0
4	23.5	0	0
5	23.5	0	0
6	23.9	43	49
7	24.5	185	162
8	25.5	311	247
9	26.5	339	328
10	27.9	298	415
11	28.8	254	481
12	29.4	253	492
13	29.6	310	434
14	29.4	390	338
15	29.2	424	250
16	27.8	342	184
17	26.8	149	103
18	25.3	5	11
19	25.2	0	0
20	24.7	0	0
21	24.7	0	0
22	24.3	0	0
23	24.3	0	0
24	24.2	0	0
1	24	0	0
2	24	0	0
3	24.1	0	0
4	24	0	0
5	24.2	0	0
6	24	14	40
7	25.1	41	153
8	25.7	71	273
9	26.8	82	376
10	26.7	76	452
11	27	67	498
12	26.9	69	509
13	26.7	85	481
14	26.2	108	417
15	25.2	115	325
16	24.9	87	216
17	24.4	40	96
18	24.3	5	9
19	23.8	0	0
20	23.8	0	0
21	23.9	0	0
22	24	0	0
23	23.9	0	0
24	23.6	0	0
1	23.3	0	0
2	23	0	0
3	22.8	0	0
4	22.6	0	0
5	22.7	0	0
6	22.6	50	51
7	23.8	461	120
8	24.7	669	141
9	26.6	699	184
10	26.9	631	260
11	27.8	553	334
12	27.8	547	345
13	28.5	634	273
14	28.3	742	181
15	27.9	785	122
16	26.8	685	101
17	25.9	286	82
18	24.7	5	11
19	24.2	0	0
20	23.7	0	0
21	24	0	0
22	23.2	0	0
23	23.1	0	0
24	22.4	0	0
1	22.7	0	0
2	22.4	0	0
3	21.6	0	0
4	21.5	0	0
5	21.1	0	0
6	21.8	23	47
7	20.9	82	167
8	21.3	141	283
9	21.7	158	382
10	22.9	141	464
11	24	122	516
12	23.9	123	526
13	25.8	154	487
14	26.3	197	409
15	28.2	214	315
16	26.3	166	217
17	25.9	75	104
18	24.1	6	10
19	24.4	0	0
20	23.7	0	0
21	23.2	0	0
22	22.6	0	0
23	22.2	0	0
24	22.2	0	0
1	21.8	0	0
2	21.9	0	0
3	22	0	0
4	22.2	0	0
5	22.5	0	0
6	22.6	54	54
7	23.8	434	128
8	24.7	635	153
9	26.3	664	200
10	26.7	596	279
11	27.5	520	355
12	27.5	515	365
13	28.3	602	291
14	28.2	711	196
15	28.4	754	133
16	27.1	654	110
17	26.3	274	86
18	24.9	6	12
19	24.7	0	0
20	24.2	0	0
21	23.9	0	0
22	23.5	0	0
23	23.2	0	0
24	23.2	0	0
1	22.3	0	0
2	21.4	0	0
3	20.4	0	0
4	19.6	0	0
5	19.1	0	0
6	19	55	50
7	19.4	641	89
8	20.4	852	90
9	22.1	876	118
10	23.4	807	178
11	24.9	726	243
12	25.3	718	253
13	27	806	187
14	27.2	910	114
15	28	949	73
16	26.3	854	64
17	25.4	372	65
18	24	6	11
19	23.4	0	0
20	22.5	0	0
21	21.4	0	0
22	21.2	0	0
23	20.6	0	0
24	20.1	0	0
1	19.3	0	0
2	18.5	0	0
3	19.1	0	0
4	17.3	0	0
5	17.4	0	0
6	15.8	57	52
7	19	596	98
8	20.5	805	104
9	24	830	135
10	24.1	759	201
11	25.6	678	270
12	25.9	671	280
13	27.1	761	210
14	27	867	131
15	26.5	908	85
16	25.6	812	74
17	24.6	351	70
18	23.9	6	12
19	22.9	0	0
20	22.2	0	0
21	21.2	0	0
22	21.2	0	0
23	20.6	0	0
24	20.2	0	0
1	19	0	0
2	18	0	0
3	18	0	0
4	16.9	0	0
5	17.1	0	0
6	16	59	57
7	19.4	486	121
8	21.4	689	139
9	25.9	715	181
10	25.5	645	257
11	27.1	566	332
12	26.5	561	342
13	28.4	651	267
14	28.1	761	176
15	27.5	804	118
16	26.2	705	98
17	25.1	299	83
18	24.6	7	13
19	23.4	0	0
20	23	0	0
21	22.6	0	0
22	22.7	0	0
23	22.5	0	0
24	22	0	0
1	21.8	0	0
2	21.5	0	0
3	21.5	0	0
4	21.3	0	0
5	21.7	0	0
6	22.1	61	56
7	23.6	546	110
8	24.9	752	120
9	27	776	157
10	27.5	705	228
11	28.4	625	301
12	28	619	311
13	28.6	710	237
14	28	819	151
15	27.6	861	100
16	26.1	763	85
17	25.2	328	77
18	24.4	7	13
19	24.1	0	0
20	23.9	0	0
21	24	0	0
22	24	0	0
23	24	0	0
24	23.7	0	0
1	23.6	0	0
2	23.4	0	0
3	23.4	0	0
4	23.1	0	0
5	23.2	0	0
6	22.8	62	60
7	24.1	418	136
8	24.9	610	165
9	27	635	216
10	26.5	567	298
11	27.1	493	375
12	26.2	489	385
13	27.4	578	307
14	27.1	687	209
15	27.1	731	143
16	25.9	632	117
17	25.2	268	91
18	24.7	7	14
19	24.3	0	0
20	24	0	0
21	23.7	0	0
22	23.8	0	0
23	23.6	0	0
24	23.3	0	0
1	22.9	0	0
2	22.5	0	0
3	22.7	0	0
4	22	0	0
5	22.1	0	0
6	21.5	64	56
7	23.3	603	100
8	24.3	808	105
9	26.8	830	137
10	26.6	759	204
11	27.5	678	274
12	26.8	671	283
13	28.3	763	212
14	28	870	132
15	28	910	86
16	26.5	815	74
17	25.5	356	72
18	25	8	14
19	23.7	0	0
20	23	0	0
21	21.4	0	0
22	22	0	0
23	21.7	0	0
24	21.9	0	0
1	21.1	0	0
2	20.8	0	0
3	21.3	0	0
4	20.5	0	0
5	20.9	0	0
6	20.2	65	58
7	22.6	600	101
8	23.9	803	107
9	26.4	825	140
10	26.7	754	207
11	27.7	672	277
12	27.9	666	287
13	28.5	758	214
14	28.2	865	134
15	27.6	907	87
16	26.7	811	75
17	25.7	355	72
18	25	8	14
19	24.2	0	0
20	23.6	0	0
21	23.1	0	0
22	22.7	0	0
23	22.2	0	0
24	21.1	0	0
1	20.8	0	0
2	20	0	0
3	20.8	0	0
4	18.9	0	0
5	18.9	0	0
6	17.4	67	59
7	20.6	597	102
8	22.2	799	109
9	25.8	820	142
10	25.6	749	210
11	27.1	667	281
12	27.1	661	290
13	28.5	754	217
14	28.3	861	136
15	27.8	903	89
16	26.8	807	76
17	25.7	354	73
18	24.9	9	14
19	23.9	0	0
20	23.2	0	0
21	22.7	0	0
22	22.3	0	0
23	21.9	0	0
24	21.2	0	0
1	21	0	0
2	20.6	0	0
3	20.7	0	0
4	20.4	0	0
5	20.8	0	0
6	20.6	68	60
7	22.7	572	108
8	24.2	773	117
9	27.2	794	153
10	27	722	223
11	28	641	296
12	27.1	635	306
13	28.4	729	231
14	28	837	146
15	27.5	879	96
16	26.1	784	82
17	25.1	343	77
18	24.8	9	15
19	23.8	0	0
20	23.6	0	0
21	23.1	0	0
22	23.5	0	0
23	23.5	0	0
24	23.2	0	0
1	23.1	0	0
2	22.8	0	0
3	22.8	0	0
4	22.4	0	0
5	22.6	0	0
6	22.8	70	61
7	23.9	590	105
8	25.1	790	112
9	26.7	811	147
10	27.4	739	216
11	28.4	658	287
12	28.3	652	297
13	29	745	223
14	28.7	853	140
15	28.7	895	92
16	27.3	800	79
17	26.5	352	75
18	25.5	9	15
19	25.3	0	0
20	25	0	0
21	24.8	0	0
22	24.8	0	0
23	24.8	0	0
24	24.8	0	0
1	24.6	0	0
2	24.3	0	0
3	24.2	0	0
4	23.9	0	0
5	24	0	0
6	23.9	119	66
7	25.1	441	136
8	26.1	629	163
9	28.1	651	213
10	28.2	582	295
11	28.9	506	372
12	28.3	502	382
13	29.4	594	302
14	28.9	704	205
15	29	749	140
16	27.3	652	115
17	26.3	282	92
18	25.2	10	16
19	24.9	0	0
20	24.6	0	0
21	24.4	0	0
22	24.4	0	0
23	24.3	0	0
24	24.3	0	0
1	23.8	0	0
2	23.5	0	0
3	23.4	0	0
4	23.1	0	0
5	23.2	0	0
6	23.2	138	65
7	24.4	500	125
8	25.4	694	143
9	26.9	715	187
10	27.3	644	264
11	28	565	340
12	27.7	560	351
13	28.1	654	271
14	27.6	765	178
15	27.5	808	120
16	26	712	100
17	25.2	311	86
18	24.2	10	16
19	24.2	0	0
20	24	0	0
21	23.8	0	0
22	24	0	0
23	23.9	0	0
24	24.1	0	0
1	23	0	0
2	22.5	0	0
3	22.3	0	0
4	21.8	0	0
5	21.8	0	0
6	20.8	182	62
7	22.9	622	100
8	23.9	820	105
9	26.6	839	137
10	26.3	768	203
11	27.3	686	274
12	27.5	679	284
13	28.3	773	210
14	28.2	880	130
15	27.2	921	85
16	27.4	828	74
17	26.8	370	73
18	27.2	11	16
19	25.6	0	0
20	25.1	0	0
21	24.2	0	0
22	24.3	0	0
23	23.8	0	0
24	23.1	0	0
1	22.7	0	0
2	22.3	0	0
3	22.8	0	0
4	22.1	0	0
5	22.4	0	1
6	21.9	182	63
7	23.9	619	101
8	24.9	816	106
9	27	835	139
10	27	764	206
11	27.7	682	277
12	27.6	675	287
13	28.3	769	213
14	28.1	876	132
15	27.9	918	86
16	27.1	825	75
17	26.4	369	74
18	25.3	11	17
19	24.9	0	0
20	24.2	0	0
21	24.3	0	0
22	23.3	0	0
23	23	0	0
24	23.3	0	0
1	23.2	0	0
2	23.6	0	0
3	23.6	0	0
4	23.9	0	0
5	24.2	0	1
6	23.8	138	69
7	25.3	488	130
8	26.9	678	150
9	27.2	699	196
10	28	628	274
11	28.8	549	352
12	29	543	363
13	29.5	639	282
14	29.2	749	187
15	29	793	127
16	28	699	105
17	27.1	406	90
18	26.2	12	18
19	25.6	0	0
20	25	0	0
21	24.8	0	0
22	24.4	0	0
23	24.3	0	0
24	23.9	0	0
1	24.1	0	0
2	24.2	0	0
3	24	0	0
4	23.8	0	0
5	24.1	0	1
6	24.2	151	68
7	25.4	526	122
8	26.6	719	137
9	27.7	739	179
10	28.7	668	255
11	29.6	587	331
12	30	581	343
13	30.3	677	262
14	30	787	171
15	29.3	831	114
16	28.4	737	96
17	27.4	439	86
18	26.9	13	19
19	25.6	0	0
20	25	0	0
21	24.3	0	0
22	24.5	0	0
23	24.4	0	0
24	24.2	0	0
1	24.1	0	0
2	24.1	0	0
3	23.8	0	0
4	23.4	0	0
5	23.6	0	1
6	23.2	137	70
7	24.9	482	132
8	26.9	670	153
9	27.3	691	200
10	28.7	621	279
11	29.8	542	357
12	29.7	536	369
13	30.8	631	287
14	30.8	742	191
15	30.4	786	130
16	28.8	692	108
17	27.7	403	92
18	26.2	13	19
19	25.8	0	0
20	25.4	0	0
21	24.9	0	0
22	24.7	0	0
23	24.7	0	0
24	24.1	0	0
1	24.6	0	0
2	25	0	0
3	24.8	0	0
4	24.2	0	0
5	24.4	0	1
6	23.6	143	70
7	25.6	499	129
8	26.6	689	148
9	28.7	709	192
10	28.9	639	270
11	29.8	560	348
12	30.2	552	360
13	30.6	648	278
14	30.2	758	184
15	29.7	803	124
16	28.8	710	104
17	27.8	418	90
18	26.7	14	20
19	26.2	0	0
20	25.7	0	0
21	25.8	0	0
22	25.3	0	0
23	25.2	0	0
24	25	0	0
1	25.1	0	0
2	25	0	0
3	25	0	0
4	25.2	0	0
5	25.5	0	1
6	26.1	96	74
7	26.7	338	162
8	28.1	501	210
9	27.7	523	273
10	29.3	462	360
11	29.9	395	437
12	30.2	390	450
13	30.1	477	370
14	29.8	580	266
15	29.2	625	189
16	28.2	534	150
17	27.5	286	109
18	26.4	15	21
19	26.3	0	0
20	26.1	0	0
21	26.1	0	0
22	25.9	0	0
23	25.9	0	0
24	26	0	0
1	25.7	0	0
2	25.2	0	0
3	25.4	0	0
4	25	0	0
5	25.1	0	1
6	25.2	64	73
7	26.2	207	184
8	27.2	326	265
9	28.5	346	346
10	29.1	303	434
11	29.8	257	503
12	29.8	254	515
13	30.3	320	448
14	29.6	403	348
15	30	440	259
16	28.5	363	195
17	27.7	181	120
18	26.8	15	20
19	26.3	0	0
20	25.4	0	0
21	25.6	0	0
22	24.9	0	0
23	24.5	0	0
24	23.7	0	0
1	23.5	0	0
2	23.9	0	0
3	22.3	0	0
4	22.7	0	0
5	23.1	0	1
6	23.2	106	75
7	25	371	157
8	27.6	541	197
9	27.1	563	256
10	29.1	499	342
11	30.1	429	420
12	30.4	423	434
13	30.7	512	352
14	30.6	618	250
15	29.7	664	176
16	28.6	573	141
17	27.7	315	106
18	26.4	16	22
19	26.2	0	0
20	25.7	0	0
21	25.7	0	0
22	25.4	0	0
23	25.4	0	0
24	25.7	0	0
1	25.2	0	0
2	24.8	0	0
3	24.7	0	0
4	24.8	0	0
5	25	0	1
6	25.5	57	72
7	26.3	166	189
8	27.6	265	282
9	28.4	284	369
10	29	249	456
11	29.5	211	520
12	28.9	209	533
13	29.4	266	472
14	29.1	338	378
15	28.4	370	285
16	27.5	302	211
17	26.9	148	124
18	26.8	16	21
19	26.3	0	0
20	26.1	0	0
21	26	0	0
22	26.4	0	0
23	26.4	0	0
24	26.2	0	0
1	25.9	0	0
2	26	0	0
3	25.2	0	0
4	25.2	0	0
5	25.4	0	2
6	25.3	128	74
7	26.7	444	143
8	28.1	627	170
9	28.3	648	220
10	29.5	580	302
11	30.1	504	381
12	30.9	495	395
13	30.1	590	312
14	29.6	699	213
15	27.9	745	147
16	28	654	121
17	27.2	378	100
18	27.1	17	23
19	26.3	0	0
20	26.3	0	0
21	26.1	0	0
22	26.3	0	0
23	26.3	0	0
24	26	0	0
1	26.1	0	0
2	25.7	0	0
3	25.9	0	0
4	25.6	0	0
5	25.7	0	2
6	25.9	168	71
7	26.7	564	117
8	27.9	757	128
9	28.3	777	166
10	29.2	707	238
11	29.8	625	313
12	29.4	614	328
13	29.9	711	248
14	29.7	819	160
15	29.1	864	107
16	28	775	91
17	27.2	481	86
18	26.8	18	23
19	26.2	0	0
20	25.3	0	0
21	26.4	0	0
22	26	0	0
23	26.1	0	0
24	26	0	0
1	25.9	0	0
2	26.1	0	0
3	25.7	0	0
4	25.9	0	0
5	26	0	2
6	26	147	74
7	26.9	499	131
8	27.8	689	150
9	28.4	710	194
10	28.9	641	272
11	29.4	561	349
12	29.8	550	365
13	29.7	647	282
14	29.1	756	188
15	29	801	128
16	28.2	712	107
17	27.6	427	94
18	26.9	18	24
19	26.6	0	0
20	26.4	0	0
21	26.4	0	0
22	26.2	0	0
23	26.2	0	0
24	26	0	0
1	26.1	0	0
2	25.9	0	0
3	25.8	0	0
4	25.8	0	0
5	25.8	1	1
6	26.2	25	65
7	26.5	69	187
8	26.8	113	304
9	28.4	125	404
10	28.5	113	483
11	29	97	533
12	29	96	546
13	29.4	125	508
14	28.7	159	435
15	29.3	173	342
16	28.1	137	239
17	27.6	66	124
18	27	14	21
19	26.7	0	0
20	26.4	0	0
21	26.3	0	0
22	26.2	0	0
23	26.1	0	0
24	25.7	0	0
1	25.7	0	0
2	25.6	0	0
3	25.1	0	0
4	25	0	0
5	25.1	1	1
6	25.7	14	59
7	26.1	37	173
8	26.8	61	292
9	27.8	69	392
10	28.6	65	466
11	29.1	57	511
12	28.4	57	524
13	29.1	73	496
14	29.1	92	434
15	28.9	98	344
16	26.8	77	235
17	25.9	38	116
18	23.9	9	19
19	24.4	0	0
20	23.9	0	0
21	23.7	0	0
22	23.4	0	0
23	23.2	0	0
24	23.7	0	0
1	22.7	0	0
2	21.9	0	0
3	22.9	0	0
4	22.2	0	0
5	22.6	1	2
6	21.8	126	77
7	24.5	430	147
8	26.5	612	176
9	28	635	227
10	28.6	569	309
11	29.6	494	388
12	30.1	482	406
13	30.2	575	322
14	30	682	223
15	28.3	729	155
16	28.3	642	127
17	27.6	373	104
18	27.2	21	26
19	26.4	0	0
20	26.3	0	0
21	25.7	0	0
22	25.4	0	0
23	25	0	0
24	23.8	0	0
1	23.8	0	0
2	23.4	0	0
3	23.2	0	0
4	22.4	0	0
5	22.6	1	2
6	22.4	195	70
7	24.4	632	104
8	26.4	827	107
9	27.2	848	139
10	28.3	779	204
11	29.1	697	275
12	29.1	682	292
13	29.2	777	216
14	28.5	881	136
15	27.9	925	89
16	26.9	842	77
17	26.2	550	79
18	26	22	25
19	25.4	0	0
20	25.3	0	0
21	25.3	0	0
22	25.5	0	0
23	25.4	0	0
24	24.9	0	0
1	24.6	0	0
2	24.1	0	0
3	23.8	0	0
4	23.2	0	0
5	23.2	1	2
6	22.9	186	72
7	24.4	608	109
8	26.1	804	114
9	26.9	825	148
10	27.9	756	215
11	28.7	674	288
12	28.7	659	306
13	29.2	754	228
14	28.6	859	146
15	28.8	904	96
16	27.4	820	82
17	26.5	531	82
18	25.9	22	26
19	25.4	0	0
20	25.1	0	0
21	24.8	0	0
22	25	0	0
23	24.8	0	0
24	24.8	0	0
1	24.3	0	0
2	24.1	0	0
3	23.8	0	0
4	23.9	0	0
5	24.2	1	2
6	24.4	185	72
7	25.5	606	110
8	26.8	801	115
9	27.4	823	149
10	28.4	755	216
11	29	673	289
12	29.7	657	307
13	29.2	751	230
14	28.3	857	147
15	28	901	97
16	27.3	819	83
17	26.5	530	83
18	26.1	23	27
19	25.4	0	0
20	25.2	0	0
21	25.2	0	0
22	25.1	0	0
23	25.1	0	0
24	24.8	0	0
1	24.8	0	0
2	24.8	0	0
3	24.4	0	0
4	24.5	0	0
5	24.7	1	2
6	24.9	169	74
7	25.9	562	119
8	27.3	757	129
9	27.6	780	166
10	28.4	712	237
11	29	630	313
12	28.6	614	332
13	29.2	709	252
14	28.9	815	165
15	28.7	861	111
16	27.5	778	93
17	26.8	494	89
18	26.3	24	28
19	25.8	0	0
20	25.2	0	0
21	25.1	0	0
22	25	0	0
23	24.7	0	0
24	24.6	0	0
1	23.9	0	0
2	23.3	0	0
3	23.7	0	0
4	23	0	0
5	23.2	1	2
6	23	154	76
7	24.6	518	129
8	25.7	711	144
9	27.1	736	185
10	27.7	668	259
11	28.6	588	336
12	29	572	356
13	29.2	665	276
14	29	772	184
15	28.3	819	125
16	27.9	736	104
17	27.3	458	95
18	27.1	25	29
19	26.4	0	0
20	25.8	0	0
21	25.5	0	0
22	25.4	0	0
23	25	0	0
24	24.9	0	0
1	24	0	0
2	23.4	0	0
3	23.2	0	0
4	23	0	0
5	23.2	1	2
6	23.4	206	70
7	25	658	99
8	26.8	855	100
9	27.5	878	128
10	28.7	811	189
11	29.5	729	258
12	29.7	712	277
13	29.8	802	205
14	29	904	129
15	29	948	84
16	27.7	869	72
17	26.9	584	77
18	26.2	26	28
19	25.9	0	0
20	25.6	0	0
21	25.6	0	0
22	25.3	0	0
23	25	0	0
24	24.1	0	0
1	23.8	0	0
2	23.2	0	0
3	23.2	0	0
4	22	0	0
5	22.1	1	2
6	20.7	189	72
7	23.7	615	108
8	26.7	813	112
9	26.7	837	144
10	28	770	209
11	29.1	688	281
12	29.1	670	301
13	29.9	761	226
14	29	865	145
15	29.5	910	96
16	27.9	831	81
17	26.9	548	83
18	26.7	27	29
19	25.2	0	0
20	23.5	0	0
21	24.3	0	0
22	23.7	0	0
23	23.3	0	0
24	23	0	0
1	22.6	0	0
2	22.7	0	0
3	21.8	0	0
4	22.2	0	0
5	22.8	1	2
6	23.2	165	75
7	24.9	551	122
8	27.1	748	132
9	27.9	773	169
10	29.1	706	240
11	29.9	625	316
12	29.6	608	336
13	30.1	698	259
14	29.3	804	171
15	29.2	851	115
16	27.8	771	97
17	27	493	92
18	26.7	27	31
19	26.3	0	0
20	26.1	0	0
21	26.1	0	0
22	26.4	0	0
23	26.3	0	0
24	25.8	0	0
1	25.6	0	0
2	25.3	0	0
3	24.5	0	0
4	23.9	0	0
5	24	1	2
6	24.3	218	69
7	25.6	690	93
8	26.5	887	91
9	28.6	911	116
10	29.7	846	173
11	30.6	765	240
12	31.3	746	258
13	30.8	832	191
14	29.7	932	119
15	29.5	976	77
16	28.1	900	66
17	27.1	620	73
18	26.2	28	29
19	25.9	0	0
20	25.7	0	0
21	25.6	0	0
22	25.6	0	0
23	25.5	0	0
24	25.2	0	0
1	24.6	0	0
2	24	0	0
3	23.8	0	0
4	23.4	0	0
5	23.4	1	2
6	23.1	98	79
7	24.6	332	167
8	26.4	498	214
9	27.1	526	274
10	28.3	470	360
11	29.2	403	438
12	29.8	389	458
13	29.7	468	383
14	29	566	283
15	28.2	613	204
16	27.5	536	161
17	26.7	305	122
18	26.2	29	33
19	25.6	0	0
20	25.4	0	0
21	26.4	0	0
22	26	0	0
23	26.2	0	0
24	25.6	0	0
1	25.9	0	0
2	25.5	0	0
3	25.5	0	0
4	25.3	0	0
5	25.2	1	2
6	25.6	207	70
7	26	665	98
8	27	865	97
9	27.7	890	124
10	28.7	825	183
11	29.5	744	251
12	29.4	724	271
13	30.2	810	203
14	30.4	910	128
15	29.6	955	84
16	28.8	880	71
17	28	603	77
18	27.3	30	31
19	26.5	0	0
20	25.8	0	0
21	25.8	0	0
22	25.6	0	0
23	25.5	0	0
24	25.4	0	0
1	25.2	0	0
2	25.1	0	0
3	25	0	0
4	25	0	0
5	25.2	1	2
6	25.6	92	79
7	26.3	310	171
8	27	471	222
9	28.3	501	285
10	28.9	447	371
11	29.7	383	448
12	29.8	368	469
13	30.3	443	397
14	30	539	297
15	30	585	215
16	28.9	511	170
17	28.2	290	126
18	27.6	31	35
19	26.7	0	0
20	26.1	0	0
21	25.1	0	0
22	25.4	0	0
23	25.1	0	0
24	25.1	0	0
1	24.5	0	0
2	24.8	0	0
3	24.5	0	0
4	24.6	0	0
5	25	1	2
6	24	173	74
7	26.5	578	116
8	28.5	780	122
9	29.1	808	155
10	29.6	743	222
11	30.3	661	296
12	30.4	641	318
13	30.7	727	246
14	30.5	830	162
15	29.1	878	108
16	28.7	802	91
17	27.7	530	90
18	27	32	34
19	26.3	0	0
20	26.1	0	0
21	25.9	0	0
22	25.9	0	0
23	26	0	0
24	26	0	0
1	26.2	0	0
2	26	0	0
3	26	0	0
4	25.7	0	0
5	25.6	1	2
6	25.6	72	77
7	26	228	184
8	26.9	362	256
9	27.2	391	330
10	28	348	417
11	28.7	295	490
12	28.7	283	510
13	29.6	346	446
14	29.7	428	350
15	29.5	469	262
16	28.6	403	201
17	27.9	220	136
18	26.8	33	36
19	26.2	0	0
20	26.7	0	0
21	23.6	0	0
22	24.2	0	0
23	23.7	0	0
24	23	0	0
1	22.6	0	0
2	22.9	0	0
3	21.9	0	0
4	21.9	0	0
5	21.9	0	1
6	21.9	2	31
7	22.5	4	98
8	23.2	6	179
9	23.2	7	257
10	24.2	8	318
11	24.6	8	356
12	25.4	8	370
13	25	9	354
14	25.2	10	311
15	24.1	10	243
16	24.4	8	159
17	24	4	76
18	23.8	2	16
19	23.5	0	0
20	22.7	0	0
21	23.7	0	0
22	23	0	0
23	22.8	0	0
24	22.8	0	0
1	22.1	0	0
2	21.6	0	0
3	21	0	0
4	21	0	0
5	20.9	0	1
6	21.3	1	26
7	21.4	2	84
8	22	4	156
9	22.2	5	228
10	23	5	286
11	23.3	5	324
12	23.6	6	338
13	23.4	6	323
14	23	7	281
15	23.4	6	217
16	22.9	5	140
17	22.8	3	66
18	23	2	14
19	23.2	0	0
20	23.3	0	0
21	24.2	0	0
22	24.4	0	0
23	24.5	0	0
24	24.7	0	0
1	23.5	0	0
2	22.7	0	0
3	22	0	0
4	21.4	0	0
5	21.7	0	0
6	21.3	55	55
7	24.5	608	97
8	26.5	856	93
9	30.4	910	111
10	30.5	858	163
11	31.9	770	233
12	32	721	274
13	32.5	778	225
14	31.8	872	151
15	30	927	99
16	29.4	880	80
17	28.1	651	83
18	28	55	50
19	26.8	0	0
20	26.7	0	0
21	27	0	0
22	27.2	0	0
23	27.3	0	0
24	26.7	0	0
1	26.8	0	0
2	26.4	0	0
3	26.3	0	0
4	25.8	0	0
5	25.9	0	0
6	25.9	55	58
7	27.1	509	116
8	28.2	752	122
9	30	810	148
10	30.2	757	210
11	30.8	667	289
12	30.3	619	332
13	30.9	677	280
14	30.4	773	196
15	30	831	132
16	29.1	782	106
17	28.5	554	101
18	28.4	55	53
19	27.8	0	0
20	27.8	0	0
21	27.5	0	0
22	27.8	0	0
23	27.6	0	0
24	27.1	0	0
1	26.8	0	0
2	26.7	0	0
3	26.9	0	0
4	26.8	0	0
5	27.1	0	0
6	27	7	38
7	28.2	18	135
8	28.8	32	249
9	30	40	350
10	29.9	39	427
11	30.1	35	473
12	30	32	489
13	30	37	471
14	29.6	43	423
15	28.9	45	346
16	28.6	38	246
17	28.2	22	134
18	28.1	9	37
19	27.6	0	0
20	27.5	0	0
21	27.4	0	0
22	27.4	0	0
23	27.2	0	0
24	27	0	0
1	26.5	0	0
2	26	0	0
3	25.5	0	0
4	25.1	0	0
5	24.8	0	0
6	24.5	5	34
7	24.7	11	122
8	24.8	20	228
9	25.7	25	324
10	25.3	25	397
11	25.6	23	442
12	24.5	21	457
13	26.1	24	441
14	26.3	28	395
15	28	28	322
16	26.7	23	226
17	26.9	14	121
18	26.3	6	33
19	27	0	0
20	26.9	0	0
21	26.2	0	0
22	26.1	0	0
23	25.4	0	0
24	25.5	0	0
1	24	0	0
2	23.4	0	0
3	23	0	0
4	23	0	0
5	23.4	0	0
6	23.7	57	59
7	25.3	514	116
8	26.6	757	121
9	28.2	814	147
10	28.8	761	208
11	29.6	672	286
12	29.9	624	329
13	30.1	681	277
14	29.9	777	194
15	29.7	835	131
16	29.2	787	105
17	28.8	559	101
18	28	57	54
19	27.8	0	0
20	27.1	0	0
21	27	0	0
22	25.5	0	0
23	24.5	0	0
24	22.6	0	0
1	22.8	0	0
2	22.2	0	0
3	23.1	0	0
4	22.4	0	0
5	23.2	0	0
6	24	15	47
7	25.9	45	161
8	27.4	83	281
9	28.1	101	385
10	29.3	96	467
11	29.4	82	521
12	30	74	541
13	28	85	518
14	26.8	103	460
15	24.8	113	376
16	24.6	97	273
17	23.9	55	157
18	23.7	20	46
19	23.8	0	0
20	24.1	0	0
21	25	0	0
22	24.7	0	0
23	24.7	0	0
24	23.9	0	0
1	24.1	0	0
2	23.6	0	0
3	23	0	0
4	23	0	0
5	23.3	0	0
6	24.2	58	57
7	25.1	597	101
8	26.6	843	97
9	28.6	898	117
10	29.4	845	169
11	30.5	757	241
12	30	710	281
13	31.1	766	233
14	30.7	859	157
15	30.6	915	104
16	29.2	868	83
17	28.5	640	86
18	28.1	58	52
19	27.5	0	0
20	27.3	0	0
21	26.8	0	0
22	26.9	0	0
23	26.6	0	0
24	25.8	0	0
1	25.5	0	0
2	25	0	0
3	25	0	0
4	24.1	0	0
5	24.2	0	0
6	23.9	58	56
7	25.5	639	93
8	26.7	884	86
