# \$ / kW(PV)	\$ / kW(Electrolyzer)	kg($H_{2}$) / kWh(Electricity)	H2 Cost
# ['Direct Capital Costs - PV', 'PV CAPEX ($/kW)', 'Value']	['Direct Capital Costs - Electrolyzer', 'Electrolyzer CAPEX ($/kW)', 'Value']	['Electrolyzer', 'Conversion efficiency (kg H2/kWh)', 'Value']	
# value	value	value	
# [ 200. 1200.]	[ 200. 1115.]	[0.02  0.029]	
1.076438572937080608e+03	1.063868400486494920e+03	2.844459741252951951e-02	3.668683161773539592e+00
2.702180476844226291e+02	8.969244376151775668e+02	2.107339316901653270e-02	2.527801400357455375e+00
6.930909553733750954e+02	3.774196859071623180e+02	2.255524789739048533e-02	2.551478532231801655e+00
1.129539701956611225e+03	3.137266930524701252e+02	2.636688584138176250e-02	3.015114451158307229e+00
8.500744733694227762e+02	3.215701200716627000e+02	2.668215313639355629e-02	2.409261370409427006e+00
8.651478482902555243e+02	2.580323644905544143e+02	2.516606409833171965e-02	2.492936136774242861e+00
1.057998072481257623e+03	8.915589053582846191e+02	2.583330663401990634e-02	3.750923079502464841e+00
7.267845179145830343e+02	1.018360085150152941e+03	2.886080503736248790e-02	2.885276191543555413e+00
6.531104893470744628e+02	3.037632922367172341e+02	2.670547630420771340e-02	1.973125813137155626e+00
5.371119272584760438e+02	6.478382519801650687e+02	2.889081463453512313e-02	2.043330085343686431e+00
1.016213888584210963e+03	6.251568793967319380e+02	2.656418528427349421e-02	3.189906047767326225e+00
8.167767751352030245e+02	8.371595845975945167e+02	2.014972337438247080e-02	4.038523523191219766e+00
7.240663110151449473e+02	2.193725181495390189e+02	2.343387034788351961e-02	2.280416692910008702e+00
9.421725590883363566e+02	1.017969319558707753e+03	2.788556557042548220e-02	3.413641257708474708e+00
3.427082647865216813e+02	2.155696254580714992e+02	2.438040770620066716e-02	1.318723354887626265e+00
8.482140104164366221e+02	9.517585930105349235e+02	2.068905343523011128e-02	4.223112109275257708e+00
7.159058807395946360e+02	7.174939954245904801e+02	2.235696754275687259e-02	3.193427579263993010e+00
8.273311307323066330e+02	1.016771789562762933e+03	2.572373799202239131e-02	3.449205034659807101e+00
1.148400882789354455e+03	3.526586481510415751e+02	2.793595152656301595e-02	2.936010681611298079e+00
3.012031462742376675e+02	7.522491772130206300e+02	2.586664236617582449e-02	1.922868678985546032e+00
9.402466157229595183e+02	3.839628713137922205e+02	2.375843721172432588e-02	3.010955209906621910e+00
1.034751266653173388e+03	8.391677109792045712e+02	2.186769188288945065e-02	4.279599633655050361e+00
9.847490537955773107e+02	5.874689727489793540e+02	2.725996943330863398e-02	2.993806203540519295e+00
9.564205371583994975e+02	6.136364771518722137e+02	2.716582074724733717e-02	2.981870414983658790e+00
8.606017383915935852e+02	8.273218823486561178e+02	2.057465157073612785e-02	4.056093691418371172e+00
4.743738536055250279e+02	4.311178779650330171e+02	2.074994464103662936e-02	2.282302499281480657e+00
8.835725811343546638e+02	5.146196975168386416e+02	2.281031030326039280e-02	3.209267269235655196e+00
8.125625444189007567e+02	1.040648831307820728e+03	2.794412739809397361e-02	3.179119443662504541e+00
1.177647981395320130e+03	6.523035974832837383e+02	2.712273961261923994e-02	3.492059334027142636e+00
1.126681878127455093e+03	2.930389241448929170e+02	2.171580751488342773e-02	3.613754152535908926e+00
3.065216628462833910e+02	5.353936952378955993e+02	2.704028772952303886e-02	1.554495274913155756e+00
3.222727432692350931e+02	7.618471786891544753e+02	2.822221903324137124e-02	1.818183036437674538e+00
4.264984003356316293e+02	8.173356618710422481e+02	2.302583829939331556e-02	2.564095338817012237e+00
8.215309754466608183e+02	2.031339638579960649e+02	2.524165234658739751e-02	2.309142944755268267e+00
9.946261876501481538e+02	1.044307924263413724e+03	2.669064346818486588e-02	3.711108123558979344e+00
8.084256894341430097e+02	7.225452263646501478e+02	2.873576550942547742e-02	2.674507243744874696e+00
1.192673702796009820e+03	7.203079332560018884e+02	2.169314408247730031e-02	4.515184837714238952e+00
1.124480623788654157e+03	5.550448611632216398e+02	2.368373386197791114e-02	3.719458813729441538e+00
3.300339168443633753e+02	4.007415114085356436e+02	2.890890315246990097e-02	1.328185337510236597e+00
6.493030230685221795e+02	4.773389052121468126e+02	2.646736082403772922e-02	2.225374099362075864e+00
1.114481296968422157e+03	1.002133794902473369e+03	2.641805568969179258e-02	3.941927556985976189e+00
9.276606727362681113e+02	1.017257411051298732e+03	2.016622578491767889e-02	4.670901019888028749e+00
4.009204198781785635e+02	1.102643672034294923e+03	2.086182877410199671e-02	3.265864790239724424e+00
8.838907551490633523e+02	6.627800139049529662e+02	2.369306456862080995e-02	3.322634627813925157e+00
6.515228652369623887e+02	2.749265749016724385e+02	2.156257471651646870e-02	2.385064078837613177e+00
3.303882980496356936e+02	2.680290202232387742e+02	2.051006291423076652e-02	1.624842931909432187e+00
1.054682553986318680e+03	8.115444044770653136e+02	2.876359834822824271e-02	3.261641034469712430e+00
3.021622925069560779e+02	5.090240410891536271e+02	2.016482892525424744e-02	2.016841235100375052e+00
8.766808402180375879e+02	7.134218293283623780e+02	2.105238265473579479e-02	3.806727486330369281e+00
7.058250401302103683e+02	3.337836132407566652e+02	2.895314667878793810e-02	1.961034981943649003e+00
6.228949716018817071e+02	2.059624534833012319e+02	2.560541871984189921e-02	1.850140521094368440e+00
9.723835859881328361e+02	2.041926053191323831e+02	2.266552078014016577e-02	2.940317976042273074e+00
7.448831471912665165e+02	3.531775049481691440e+02	2.176034790181272105e-02	2.734788074907919420e+00
