# STH Efficiency	Cell Cost (\$/$m^{2}$)	Cell Lifetime (years)	Solar Concentrator Cost (\$/$m^{2}$)	H2 Cost
# ['Solar-to-Hydrogen Efficiency', 'STH (%)', 'Value']	['PEC Cells', 'Cell Cost ($/m2)', 'Value']	['PEC Cells', 'Lifetime (years)', 'Value']	['Solar Concentrator', 'Cost ($/m2)', 'Value']	
# value	value	value	value	
# [0.14 0.3 ]	[  100. 21000.]	[0.3 3. ]	[ 60. 100.]	
1.660002069577777573e-01	1.436887650095150639e+04	4.573137272389145025e-01	6.353148507851248183e+01	7.228760159534154184e+01
2.162165775632986231e-01	2.093941590737785737e+04	4.952788967834634848e-01	8.639000661408869064e+01	7.483656855632976601e+01
1.798708528504124327e-01	1.989347901155469799e+03	4.959173200685830230e-01	7.462495766710534895e+01	1.048474867421265877e+01
2.860967155115073934e-01	1.503311418833121934e+04	2.080203815172481985e+00	7.380539043653530484e+01	1.179368549680510192e+01
1.602671097014008172e-01	1.384567224785040708e+04	1.015562562837977412e+00	9.575546136804373987e+01	3.458514223690826128e+01
2.802539624404662977e-01	1.351569658379584143e+04	2.746834876898020639e+00	8.778222105835344280e+01	9.322881325240933492e+00
2.969726849247440459e-01	1.233652782934822972e+04	2.916580266101528984e+00	7.941255211995525087e+01	7.848441612895376451e+00
1.865360149029592907e-01	2.532673823256434389e+03	2.937735144290465783e+00	8.852166755939163068e+01	4.243220549830653887e+00
2.620235602968191690e-01	1.559927186685211382e+04	1.489316200155799130e+00	6.948790179909757114e+01	1.733873370626001531e+01
2.333435469730462675e-01	1.011899580611865713e+04	2.593039903245427880e+00	9.751551163440916525e+01	9.237096196224650058e+00
2.655500742088731658e-01	1.692386393758624399e+04	7.997357101227109411e-01	7.946747241976413534e+01	3.244890465727044671e+01
2.003834492166232106e-01	8.627872013218649954e+03	2.436460891393875894e+00	9.789783827690773421e+01	9.729159759230633142e+00
2.030002512360401523e-01	6.696008672484178533e+03	1.961280043827585695e+00	7.099115591094380306e+01	8.905921220458141718e+00
2.878894265112247330e-01	2.701841523217827216e+03	2.855493074845480095e+00	6.458792168115988375e+01	2.805331455571617560e+00
1.564561069139754623e-01	3.867616714770989802e+03	2.184259155430941401e+00	6.551143565768455801e+01	6.934152133758266778e+00
1.581488417339005637e-01	9.684053378453574624e+03	6.642318417160510968e-01	6.365257447351406483e+01	3.727108079698292897e+01
2.623488553158941361e-01	1.436976835789806319e+04	2.785878035255349161e+00	7.553199940686377545e+01	1.024107956471502057e+01
2.806136162244207144e-01	1.923205467076721470e+04	7.774402198613882264e-01	9.714083843832975163e+01	3.574712876284759488e+01
1.696223774482361057e-01	1.860643528843927561e+04	1.160917441625261226e+00	9.127041704723103521e+01	3.860788291064795175e+01
2.691292940967371372e-01	1.604855404463907689e+04	2.860707311610835468e+00	6.353961851270964445e+01	1.070077443474277601e+01
2.841494672574560454e-01	2.212720130329140375e+03	5.184618626470332003e-01	6.637802405952245977e+01	6.965789455234496330e+00
2.105940566335694764e-01	9.425591702376228568e+03	2.660226804879430418e+00	7.803649777767331841e+01	9.253441815456401542e+00
1.884127927906670552e-01	9.426380721220386476e+03	2.681946738278709663e+00	9.743372557963715508e+01	1.045697100079315511e+01
2.974821539728140785e-01	1.216315180932861404e+04	1.086442653167090766e+00	7.170728849454583553e+01	1.567117336784355253e+01
2.088614327006175497e-01	1.539573084862278301e+04	2.932478680814389893e+00	9.608232275692941471e+01	1.342125210241318278e+01
1.619060469040579098e-01	3.187140252619799412e+03	1.842123684503996772e+00	7.138708022030192524e+01	6.700802827601255451e+00
1.483141680467835732e-01	4.433838412392975442e+03	2.402125082158903080e+00	7.825806378187125745e+01	7.955649995395110530e+00
2.580530653580764833e-01	1.804334860299122738e+04	5.504459248913797786e-01	9.371299740183884808e+01	4.938738222074529460e+01
2.238166799045121225e-01	1.186953012529035186e+04	1.651772756240345030e+00	8.482904498887515388e+01	1.487970636637728283e+01
2.807591140156832643e-01	1.089654030634087576e+04	1.619974376277150130e+00	7.341607576761344944e+01	1.113132665650232589e+01
1.450353473552621342e-01	7.451106878504126144e+03	1.344664885671180921e+00	7.461351914339620350e+01	1.753707427071142888e+01
2.648480939421826719e-01	6.290078894681983911e+03	8.589782469885280936e-01	9.245864850625417830e+01	1.241813457553148403e+01
1.494137308154673272e-01	1.139424670019126097e+04	2.517503354051209730e+00	8.361544557089064256e+01	1.562851880375520253e+01
2.435415260951616090e-01	1.062154518106524120e+04	1.039802525872516092e+00	9.714971883953566589e+01	1.768707955117227826e+01
1.729629757547360147e-01	1.731105118800337732e+04	1.300797137389249292e+00	9.093674597951297756e+01	3.232442556690818947e+01
2.545295930348892011e-01	2.298831372248014304e+03	5.445625279934018792e-01	8.718499836827420779e+01	7.873589866712142893e+00
1.871364825054671333e-01	1.520805533864362405e+04	1.123014656567537628e+00	7.490387110149454486e+01	2.956575442366471052e+01
1.579346185736864583e-01	1.598634736965594311e+04	2.698124181114285314e+00	8.755990210383156125e+01	1.901358886938479031e+01
2.834408319218819639e-01	4.017597649828946487e+03	1.695577256836985791e+00	8.244517889318665027e+01	4.903108383390184066e+00
2.709915369690785725e-01	8.697800895784142995e+03	2.146905004726610500e+00	9.906761091898817995e+01	7.878434942282068754e+00
2.837780336259660419e-01	1.092530032939464218e+04	1.395637377809186841e+00	8.358214831132559652e+01	1.237917112503129147e+01
2.621343109316780495e-01	1.481265992533862482e+04	1.915698740710390258e+00	6.839575943548740611e+01	1.375345736752703907e+01
