# STH Efficiency	Catalyst Cost	Catalyst Lifetime (years)	Catalyst Concentration (kg/L)	H2 Cost
# ['Solar-to-Hydrogen Efficiency', 'STH (%)', 'Value']	['Catalyst', 'Cost per kg ($)', 'Value']	['Catalyst', 'Lifetime (years)', 'Value']	['Catalyst', 'Concentration (kg/L)', 'Value']	
# value	value	value	value	
# [0.02 0.2 ]	[ 100. 6000.]	[ 0.1 10. ]	[0.001 0.1  ]	
1.552242960706924635e-01	1.597433820833104619e+03	9.730594916564243135e+00	2.715843955273890276e-02	1.590426785109247287e+00
6.390056854499893968e-02	1.414466177016273832e+03	7.717570385651592701e+00	4.699121332927769235e-02	2.456105160595553283e+00
1.386756465341111300e-01	5.916650899521835527e+03	1.144606415783098408e+00	8.243911799832703835e-02	1.080058450594644803e+01
6.361682574260908718e-02	5.336592308790848620e+03	7.328141140011997123e+00	6.813043880335482860e-02	5.376659799369736703e+00
1.492906077244048335e-01	4.617685800360485700e+03	9.701231860941556207e+00	6.854306322744215148e-03	1.550823345190486036e+00
1.441749821881416482e-01	4.938440213516939366e+03	1.035172392297805111e+00	7.436640953401510434e-02	9.132562715642791318e+00
1.947969574632791023e-01	4.340994079226626127e+03	4.063197127429447164e+00	8.746904533218917421e-02	3.150268952289920765e+00
1.294477428606919389e-01	3.491793087624478176e+03	9.832648144508151944e+00	5.656129201248077942e-02	2.250154948336629435e+00
1.337462215034720125e-01	7.815243742792875992e+02	8.146548853349043773e-01	9.705037979750804483e-03	1.696222476678850510e+00
1.498850429184727107e-01	5.443662418860443722e+03	2.984684376544131990e+00	1.668296440572354655e-02	2.174945736949590369e+00
1.753197904199159940e-01	5.723762480055243941e+03	6.576362413633765058e+00	1.732913548429515158e-02	1.825338108590847552e+00
1.462186593804166990e-01	3.801864949616970080e+03	7.392310471335695965e+00	2.952160174607791968e-02	1.966278372212321379e+00
1.992483041367068275e-01	3.015606400521521209e+03	7.374095875341936113e-01	8.576242201394926323e-02	6.616773908747886956e+00
1.885198576402724313e-01	5.217817052434363632e+02	2.624435761669740685e+00	5.701295543882217362e-03	1.294262905809704822e+00
1.226360838230685091e-01	4.220649618047633339e+03	4.300164331535232254e-01	3.980148030394591030e-02	1.106674483380610496e+01
1.800800128734909578e-01	4.009674516659503752e+03	9.046045281722747688e+00	7.694463557052948210e-02	2.160124166767631859e+00
9.570776733111673040e-02	2.066998469876796207e+03	9.905846765488714567e+00	1.174665435501111299e-02	1.675300448288915334e+00
1.435649392995231866e-01	2.315507626704714312e+03	8.073525135354687521e+00	1.468322761376642666e-02	1.606741071804792087e+00
6.023537277086310482e-02	1.631691786428051955e+03	9.027678190386284385e+00	6.505012933395348806e-02	2.765306189410161597e+00
8.510632456235506238e-02	3.860391143959721376e+03	8.961826468252549915e+00	8.821632135047427492e-03	1.948100148384453556e+00
